full_text,user_id,user_name,user_location
"@joshzepps IMO, people who care enough to vote without coercion have a greater likelihood of voting on substantive issues rather than on personalities.
So compulsory voting is at least partly to blame for Australia not becoming the great country that it c",58164856,Martin Boers,"Lower Saxony, Germany"
"Un’ infografica del @guardian che ci aiuta a confrontare le differenti posizioni dei partiti australiani su questioni come salute, clima e immigrazione https://t.co/CpnEI1sfEz @GiuliaDeLuca82 @radio3mondo",100185915,Rai Radio3,Italy
Investors go shopping to toast Australia’s election result https://t.co/FDNHc2hnpq https://t.co/Bfa5XqzJFg,65109514,Global Issues Web,"Los Angeles, California, USA"
"#财经视野 #BIZpective
Australia election just over. How will Australian dollar perform, which hovers at 10-year low against Singapore dollar? 
Find out on Hello Singapore, Channel 8, 6.30pm-7.30pm tonight. Stay tuned! 
#ShotOniPhoneX https://t.co/X3KFZvTED9",228310395,EG YIK FAN 吴益帆,Singapore
BBC News - 2019 Australia election: Morrison's coalition seeking shock majority https://t.co/bN3toFzJhN,1.12E+18,markasher224,
"'I've always believed in miracles', Australia's Christian PM heads to church after unexpected re-election - Premier https://t.co/eDzhQnbj1C",9.61E+17,Aidan Murray,"Farnborough, South East"
"Whatever mistakes Labor made, we know democracy is under threat when an individual can spend $60m with a revolving preference deal to steal an election – and it happened. https://t.co/NrHnYHQNS5 #auspol",267570919,Wayne Swan,Brisbane
Conservatives look set to form gov’t after Australia vote – Fox News https://t.co/EGKV4zDEmc https://t.co/KLSCn55rVJ,133378751,iBOLD BREAKING NEWS,New York
Now Australia.  We will see what the LNP owes Murdoch for a election win. Get ready.,2944314258,Tony Linus Tigerrr,
Journalists need to get an ironclad guarantee that Australia will not be involved in any US war on Iran. Seems #Trump is already buttering up Morrison to this end. #auspol https://t.co/74SEqRZgnp,378420614,Sandra K Eckersley🔹,Sydney AUSTRALIA
"Australian Voters Reject Leftist Ideas 
-https://t.co/7sXCI9GaTT
- National Review

Australian Prime Minister Scott Morrison with his family after winning the 2019 election in Sydney, Australia, May 18, 2019.(Dean Lewins/AAP Image/via Reuters)

A stunning co... https://t.co/RxG1s5MuYd",1.01E+18,FullMagazine❌,"Texas, USA"
😭Sad day. @tanya_plibersek is the kind of leader Australia needs. https://t.co/Fjwy0arcCt,22353877,Maryann Wright,"London, England"
A surprise election result is ratcheting up pressure to develop one of Australia’s biggest untapped reserves of coal https://t.co/8SgPRu9BoB,118099082,michaelangelo,Depends on the day 
A surprise election result is ratcheting up pressure to develop one of Australia’s biggest untapped reserves of coal https://t.co/JmJf6vs2bl,588261604,Bloomberg Asia,
"The argument against 'truth in political ads' is that political campaign 'truth' is not capable of being regulated: it is relative &amp; difficult to pin down. This is crap. The point of the regulation is to ban falsehood &amp; lies - much easier to pin point.
https://t.co/ujUIJNJtAf",889926294,💧sipawe,
@chasetrace @Cavillor @realDonaldTrump Haha thanks for making me smile in this depressing post-election Australia.,8.89E+17,Freya,"Sydney, New South Wales"
After the climate election: shellshocked green groups remain resolute https://t.co/5mKiA9H8nf,9.26E+17,Environment PHAA,Australia
Media Acknowledges President Trump’s Successes on Australia’s “Miracle” Election https://t.co/jE8IZSbVe1 via @pamelageller,2426661938,Son Of Nel,U.S.A.
@phbarratt Let’s say Labor decided to open another 10 coal mines. Then they won the election with +10 seats in Queensland. To whom are they going to see this coal ? China will not buy from Australia if we endorse the trade war. Japan ? Unlikely. They ar,958842956,Miro Jurcevic,"Sydney, Australia"
"In coal we trust: Australian voters back PM Morrison's faith in fossil fuel
https://t.co/VCElWjz6SX",9.53E+17,Brought to You,
False election claims spark push for truth in political advertising laws https://t.co/VRrKAhoR5I,1315921093,Water Witch 💧🌏🌲,Australia
Conservatives look set to form gov't after Australia vote - Fox News https://t.co/lzYIpqL77J,7.62E+17,Social Brief Info,Romania
"Australia: ""The mistake Labour must not repeat.
As the election results started to roll in on Saturday there was disbelief among Labour supporters. Then that disbelief turned to anger.""
https://t.co/4L2WinxlPM",7.70E+17,Iain Lees,"England, United Kingdom"
Conservatives look set to form gov't after Australia vote - Fox News https://t.co/7KfH16CXVg,9.57E+17,NY Today,
@sunildaniel03 Interestingly the guy who predicted the election result in Australia (and Trump and Brexit) did so purely with Twitter data...,17461068,Tim Sheedy,"Sydney, Australia"
'Vote for the climate': NSW demands environmental short film's removal from internet https://t.co/VrFvB0vyJ4,92484856,PIPELINEPETE,"Brisbane, Queensland"
@MichaelBoller2 @wendyemily2 That's exactly what be was saying. Saturday night was highly charged with comments about Australia and the vote. It was more a call for calm,1284923442,💦Graeme #ILikeLabor,
"@rachelbaxendale You honestly think you can sit as a member of the Murdoch propaganda machine and preach to people how they should respond to the election outcome? 

You’re organisation is part of the disease that is destroying democracy in Australia. O",9.73E+17,💧nick168,"Lindisfarne, Tasmania"
"How automated polling calls did not tap into local sentiment and missed the Aussie election result: “They just want you to say, ‘Yes, No, Press one for this, Press two for that,’ and then you’re gone.""
via @TSWestbrook and @barrett_ink  https://t.co/H6sIlnVbFM",1612535575,Charlotte Greenfield,
Just a coupla quiet Australians reflecting on the promise of Australia via ⁦@PaulinaDuran⁩ and ⁦@byronkaye⁩  https://t.co/FDbLuu2hex,356017534,Tom Westbrook,Sydney
"‘We have lost Australia for now,’ warns climate scientist in wake of election upset https://t.co/aphUVMyNXm https://t.co/yEmGPkcHEk",55355654,ThinkProgress,"Washington, D.C."
There is no doubt when Palmer could get together $70m &amp; others who spent upwards of $100m in a campaign against Labor that we were massively swamped. https://t.co/NrHnYHQNS5 #auspoI,267570919,Wayne Swan,Brisbane
"In the wake of the recent election, please watch and share this video: Dirty Power – Politics and Australia’s Coal Networks https://t.co/KLoCwpjBXU via @MichaelWestBiz #auspol",86030794,Annabelle Lukin,"Sydney, Australia"
"@LesStonehouse The rising Jim Chalmers should be worth watching. You can always mute The Parrot if necessary! Netflix may well be the soporific for a disengaged Australia, one which has helped induce the 2019 Election result.",2323102484,Earthquack,"New South Wales, Australia"
It was supposed to be Australia’s climate change election. What happened? https://t.co/gOGq5RLGlm https://t.co/8rcMdpJ7pI,41085467,TODAY,Singapore
"After six weeks of voting, with some 900 million people casting their ballots, the results of India's marathon election will be announced this week, @Girishsawlani writes  in the @abcnews https://t.co/BmcxdseiNc",8.81E+17,GTPA,Australia
'Quiet Australians' are the latest to upset election forecasters' expectations https://t.co/HouCHfNXd6,536226482,Violeta Rosioru,New York
"Former Olympic bronze medalist defeats former Australia PM in federal election. 
Read more here:  https://https://t.co/HAxVUnk7MU https://t.co/QiwABTAnLe",56648358,PlanetSKI Snow News,The Mountains
So... do I know anyone in Syd who’s flying to UK tomorrow? My EU postal vote arrived today and it’d stand a much better chance of getting to Edinburgh if it were posted from the UK on Wednesday! (Than Australia on Tuesday),44144749,Dr Helen Maynard-Casely,D’harawal country
A surprise election result is ratcheting up pressure to develop one of Australia’s biggest untapped reserves of coal https://t.co/wGUIkX2HsR,1.02E+18,Funding Hero,
In coal we trust: Australian voters back PM Morrison's faith in fossil fuel https://t.co/ngxngOXJD3,18133725,Graham Wallington,"Johannesburg, South Africa"
"@Growth_Lean &gt;&gt; Shares in Australia's ANZ, Commonwealth Bank jump after conservatives re-elected https://t.co/ioUe2x65hL #lean https://t.co/WVUPmBR8e6",9.91E+17,Lean Consultancy,Europe
The markets see the election outcome as a big boost for the #Adani Mine. Check Emeco share price (a mining support company operating out of Mackay) up nearly 10% today. And this from @Bloomberg  https://t.co/l50Fx27ozZ via @business,18965916,Hugh Riminton,"Sydney, Australia"
No surprises. It's weird to think Australia wouldn't be affected by these shenanigans. I mean even i noticed the uptick in trolls prior to the election. Older people on FB are an easy target and more and more young people are giving FB the flick. https://t.co/dC4WuLX3hX,624496137,Jessica,Inner North
In coal we trust: Australian voters back PM Morrison's faith in fossil fuel https://t.co/emCbbqhs3R,322291006,Movie Buff,On the Corner
In coal we trust: Australian voters back PM Morrison's faith in fossil fuel https://t.co/5Mgl8Cs6TH,9.00E+17,Organic Agriculture Association,
@damian_butler @jarvanitakis @ABCthedrum @OneNationAus Then stop acting like an angry right wing loony! You won the election and now get the popcorn going and let’s watch the brilliant policy work that will save Australia from the recession!,8.28E+17,Migrant Nation Party,Australia
"#ClimateChange was a major part of #AusVote2019 because Australians know the risks of #ClimateBreakdown. The pressure on the Morrison Government is going to be unrelenting for real #ClimateAction. 

#mightbeharderthanwethought but #werejustgettingstarted 

https://t.co/YtKCAviu2s",177458594,Julie-Anne Richards,London
Only five contenders remain in contention to be named Australia's greatest ODI player. Who's your pick out of these two? https://t.co/bJD4URn9Um https://t.co/SOqiNPMH2L,17692554,cricket.com.au,Australia
"Tanya Plibersek will not contest Labor leadership ballot – as it happened

https://t.co/8FvVo0XLn3",1426865454,💧 Margaret Hollingdale,Wurundjeri Land
Conservatives look set to form gov't after Australia vote - Fox News https://t.co/viqGKK2NKs,264547754,BR,
Conservatives look set to form gov't after Australia vote - Fox News https://t.co/MURsFAvhLW,66877994,Atlanta Tips,"Atlanta, GA"
@JanEdwards62 @slsandpet It was actually a good election for Labor to lose. Morrison will lead Australia into recession as the world economy tanks. The LNP is still divided. While the Libs might behave. There is no guarantee the Nats will. Therefore it wi,423661014,tracy walker,Sydney 
"Fortunately you are incorrect, in Australia we have hand marked paper ballots, when you present to vote you must first go to a register holder with full ID, YOU ARE THEN CROSSED OFF THE REGISTER. Once all voting is complete that goes to the AEC for cross referencing after polls. https://t.co/xoAtPw6S3q",9.09E+17,Blackdingo1,"Australia,somewhere."
"作戦勝ち…

「モリソン氏の最大の資産はショーテン氏だった。最終的に首相コンテストにしてしまい、ショーテン氏は有権者から好かれたり信頼されなかった」と指摘した。

焦点：豪総選挙で与党が「奇跡」の勝利、モリソン長期政権に道 | Article [AMP] | Reuters https://t.co/5mtb1Mm71b",277837450,元サカ,富士山と海のある県
".@ShashiTharoor  rejects exit #poll results, refers to #AustraliaElection
https://t.co/Az2E7FtCqL",756796452,DhakaTribune,"Dhaka, Bangladesh"
"Latest #blameafarmer hysteria 
-  approx 85000 farms in Australia (employing about 300000 in total) being blamed for an election result with an electorate of 16,855,289 😂😂😂 https://t.co/25DoEvt1tT",107145172,Ruth Scott,
:-) https://t.co/axIuKA1dJo,7.01E+17,Tania Groth,
In coal we trust: Australian voters back PM Morrison's faith in fossil fuel - Reuters https://t.co/Q6bnHfiLzd,8.28E+17,🍀 badluck 🍀,𝐇𝐞𝐚𝐫𝐭 𝐨𝐟 𝐭𝐡𝐞 𝐑𝐞𝐛𝐞𝐥𝐥𝐢𝐨𝐧
"The old phone book - not just good for using as a door stop, standing on to reach top cupboard, using pages to clean windows ... https://t.co/6DSPg3k0cZ @TSWestbrook #auspol",1147386834,Jonathan Barrett,
総選挙で勝利の豪与党、景気減速への対応が必要に https://t.co/nB2vEBUgqS https://t.co/OGbOOvSJLY,159002601,ロイター ワールド,"Tokyo, Japan"
焦点：豪総選挙で与党が「奇跡」の勝利、モリソン長期政権に道 https://t.co/SmlAurCSvs https://t.co/vkSeKdro3q,159002601,ロイター ワールド,"Tokyo, Japan"
"Getup AKA Avaaz AKA Purpose Inc (see Syria) had a bit of an upset in Australia this weekend

https://t.co/NFFHyxpKxi",2256275845,Charles Wood,"Australia, New Zealand"
"@pastry212 @Geordiepride51 @samdastyari @Joe_Hildebrand They all had the vote......

Wait......that just like every other citizen of Australia.

They voted for Scomo.......",1.09E+18,Aunty Burt,"Sydney, New South Wales"
"Australia's benchmark stock index hit an 11-year high after conservatives' election upset.
#Australia #AusVotes2019 
https://t.co/bLVKQT825Y",436429668,Nikkei Asian Review,Tokyo
"The group responsible for Australia's top opinion poll and an industry body for market research will review their methods to uncover how pollsters came to wrongly predict a victory for the opposition in the general election, they said on Monday.

""'Quiet… https://t.co/BoqIuzAYUF",189575751,kristoferkawas,"Washington, DC"
"Top story: Federal election 2019: Tanya Plibersek will not contest Labor leadership ballot – politics live | Australia news | The Guardian https://t.co/xZxAprmjb9, see more https://t.co/zzYY2mJYLH",290502791,Luna AKIR,
"""In coal we trust: Australian voters back PM Morrison's faith in fossil fuel"" https://t.co/9C0qAU4nyY",9.34E+17,Famoso,France
https://t.co/szcFn1GRMK https://t.co/JWoEDg9FZs,7.78E+17,AusCham Argentina,"Buenos Aires, Argentina"
"@realDonaldTrump Better known as SCOMO here in Australia !!!
I did not vote for him but unlike the Demcraps in the USA. there is no weeping in the streets by those who lost, no howling at the moon, there is no RUSSIA_GATE phony investigation. Australians ",61913539,Adey May,"Sydney, New South Wales"
It Was Supposed to Be Australia’s Climate Change Election. What Happened? https://t.co/HDZeKEPf5P Some lessons here for Democrats opposing Donald Trump?,243821406,Mark Lynas,"Oxford, England"
The polls got yet another election wrong. @davidfickling and @Moss_Eco explain what happened in Australia https://t.co/SToqoWfjvq via @bopinion,237871265,David Shipley,"New York, New York"
焦点：豪総選挙で与党が「奇跡」の勝利、モリソン長期政権に道  https://t.co/hkCqFQWNCI,119603478,ロイター.co.jp,"Tokyo, Japan"
A surprise election result is ratcheting up pressure to develop one of Australia’s biggest untapped reserves of coal https://t.co/VqTq0emUDO,34713362,Bloomberg,New York and the World
"A good sensible question, in relation to Australia, when a person goes to vote you are first required to present yourself to a register holder, they ask for ID and street address and then a line is run through your entry in the AEC register, then you get voting papers. https://t.co/UUOTngEzo1",9.09E+17,Blackdingo1,"Australia,somewhere."
@anuragspparty Ye Australia nii hai India hai yhaa election commissions bhi satta dhari party ki talve chat ta hai aur yhaa evm bhi garmi ki wajah se kharab ho jaati hai aur 20 lakh evm ka koi ata ptaa nii hai kaha hai bjp ab apna asli khela shuru kregi,1.07E+18,Sandeep Yadav,India
Australian banks rally as conservative election win eases fears of new curbs https://t.co/lDIrPa3DJp https://t.co/rUzANEPD2B,2165329988,Andy Brennan,"Jacksonville, Florida, USA"
"""What does that say about us?""
It says that there are such fundamental differences between different regions that they should seriously consider partitioning Australia so the objectively better parts can get on with building a better place for their kids.
https://t.co/qCTuzeoF84",58164856,Martin Boers,"Lower Saxony, Germany"
"Australia's election outcome was an ""incredible shock"" and PM Scott Morrison's rivals failed to craft a message that the economy isn't doing that well, says professor Jill Sheppard https://t.co/MxbBJjpsiU https://t.co/SdRNcZqe04",1.02E+18,Funding Hero,
"Shocked at how many of my friends voted for self interest and could not care less about creating a fairer Australia, climate change or progressive policies over slogan SLO Mo ..most divisive election I can remember . https://t.co/1VV5xM2NMA",8.57E+17,Christine Hore,"Melbourne, Victoria"
‘This was the luvvies vs the tradies and small business people election and the luvvies lost’. Good article if not fairly damning of Labor party in Australia. https://t.co/PW2wkkxCsL,406846671,Julie,Somewhere on a bar stool
@MpBev @kimmee_gee @samanthamaiden I’m with you Bev. I didn’t vote for them either but we ‘Australia’ did. As a democratic country we must accept that the majority want this party to rule on their behalf. In a democracy you can’t just say I’m ,1.09E+18,💧Thompson0767,Gubbi Gubbi Country
Australia’s Voters Reject Leftist Ideas https://t.co/F69g1Fqywv,17808804,S.R. (Rob) Piccoli,Italy
@kipstewart @firstdogonmoon remembering the great JPS on Qld election nights in the 80s. Now the whole of Australia has a Qld government (as someone near to both of us said!) but we're going to be ok :),92720556,Jessica Stewart,Sydney Australia
'Quiet Australians' are the latest to upset election forecasters' expectations https://t.co/19Nyo4T4hq #2020Elections #Elections #2019Elections #Politics,40173650,Global News Report,RT's Are FYI Purposes Only
総選挙で勝利の豪与党、景気減速への対応が必要に https://t.co/CURnI1Zzgz,8.51E+17,くろ٩(╹⌓╹ )۶',日本
"""#Elections News: Asian shares mixed, India and Australia up on vote outcomes #News"": https://t.co/qxA2SZvrDW",40173650,Global News Report,RT's Are FYI Purposes Only
"▶ Asian Shares Mixed As Trade Fears Linger: Asian stocks ended mixed on Monday as trade worries persisted, offsetting a surprise election victory for Australia's pro-coal ruling Coalition and upbeat Japanese GDP data. https://t.co/csCgmLGIPv RTT",1209338426,FinanzLinksASIA,
"#Resist network, check this out. This is a Murdoch Newscorp newspaper in Queensland, Australia. The lady with the target is the State Premier of Queensland. This is following the recent election win of the conservative Morrison Government (staunch Trump supporters)... Terrible! https://t.co/XpvxNp5ST1",1.08E+18,💧The Raven Quoth 🍑,"Gundungurra Country, Australia"
What Donald Trump told Scott Morrison after shock Coalition win https://t.co/L4Nx1fbuXA,88890364,NewsHitterTeam,cyberspace
"Great news for Australia! #ausppol 

https://t.co/d8xu8AMDJN",340279079,Rebooted,"Sydney, New South Wales"
It was supposed to be Australia’s climate change election. What happened? https://t.co/Obbto8hSK7 https://t.co/BvgoUSSoOw https://t.co/5wmzX7UryK,1937661476,Your face is a flower Stefani,USA
"""In Coal We Trust: Australian Voters Back PM Morrison's Faith in Fossil Fuel"" by Reuters via NYT https://t.co/Me1qkxzC3o",3305348538,Barbara Geat,
While the election result at the recent election was unpredictable let’s celebrate Australian democracy with people like Fraser Anning getting the boot. thank you Australia. #AUSVote19,69571675,Ahmed Fahour,"Melbourne, Victoria"
Miners welcome Australia election results as Morrison takes victory https://t.co/4JbN3K21ER,1040076650,Mining Opportunities,Canada
@43a6f0ce5dac4ea @GreatGasScam @MarkPlackett1 @GeorgesStPaul1 @JudicialCorrupt @TaodeHaas @TAFEeducation @SerkanTheWriter @PhillipAdams_1 @phbarratt @Info_Aus @MsVeruca @Peter_Fox59 Less than 48hours after the election and the coal industry demands are la,1036115508,💧Peter Harden - Ghost Water Sales Rep,Australia
Australia's money markets have cheered Coalition's victory in what has been an extraordinary day of trade. The ASX put on more than $30B as investors flocked back to the banks and private health funds in the wake of the election outcome. https://t.co/3Ch0gqKWSR @GemmaActon #7NEWS https://t.co/jpIiWOCLcc,63362429,7NEWS Australia,Australia
"@CamboFoxtrot @HometoBilo @DavidColemanMP It won't happen, I'm sorry to say.  Australia failed to vote ...for anything actually.  But I will be t my usual spot on Fri to voice my dissent.",2941134302,Jennie Bloom,
"Australian, Indian elections boost Asian shares, trade fears ease
Asian shares clawed back some of last week's losses as investors cheered apparent election wins for conservative incumbents in Australia and India, while broader global trade worries eased after Washington off…",9.70E+17,News9,USA
"@elcokolo @OsbornBrett @LyleShelton @Pontifex @jesus @ScottMorrisonMP @IzzyFolau @HorizonSydney @bradbonhomme With respect Elizabeth i hear your not interested tweet, will not tag again. Election is over g8

🇦🇺 Australia has elected a prime minister",8.21E+17,Natural💜order 👫 mentoring,Australia
BBC News - 2019 Australia election: Morrison's coalition seeking shock majority https://t.co/n6CrhpubkL,1.12E+18,Tim Day,
"@gemcarey @Tim_Beshara Rebecca Huntley was on with Richard Fidler this morning. Well worth a listen.
https://t.co/xENUPgORCv",15435394,JK,Stolen Land
Donald Trump likens Scott Morrison's election victory to his 2016 presidential win and Brexit - Australia Votes - Federal Election 2019 - Politics https://t.co/mpN0ZRz1I0 https://t.co/yTHF76AmM1,3238757417,Sortiwa,United States
"Elecciones en Australia: “It was billed as the climate change election, and the climate lost” 
https://t.co/lFvbujSSgN",250596296,Toni Ulled,
Federal election 2019: Tanya Plibersek will not contest Labor leadership ballot – as it happened https://t.co/Ng9Zib75a6,411259557,george diamataris,
"BANGKOK – Shares were mixed in Asia on Monday, with India and Australia leading gains for the region following elections that... https://t.co/eXQlvKyRQ2",8.62E+17,Networkofnews Phili,
"Reuters: In coal we trust: Australia's voters back PM Morrison's faith in fossil fuel.
https://t.co/XkvjuM7LTS

via @GoogleNews",18928000,lostbull,USA
"Fraser Anning, the far-right Australian lawmaker egged by teen after New Zealand mosque terror attack, voted out of office 💁‍♂️https://t.co/bMThAszNnv",403338386,TellMAMAUK,UK
Australia's conservative coalition secures parliamentary majority https://t.co/807REjxtox,486172437,Todds Newz,USA
"Congrats to Spectator Australia, almost alone in correctly forecasting election result. Rowan Dean: I predicted all along that Morrison would win https://t.co/kP0ribURgw",136004952,Andrew Neil,
It Was Supposed to Be Australia’s Climate Change Election. What Happened? https://t.co/HiZi9Abv25,9.18E+17,Richard Mayson,"Wellington City, New Zealand"
reuters|'Quiet Australians' are the latest to upset election forecasters' expectations|https://t.co/tEwrfXcj8Y https://t.co/Qz47EGAyU9,8.69E+17,bot_political,CyberSpace
reuters|Australia's conservative coalition secures parliamentary majority|https://t.co/dV8jBjKCaV https://t.co/hKFWpetyKj,8.69E+17,bot_political,CyberSpace
"""In Coal We Trust: Australian Voters Back PM Morrison's Faith in Fossil Fuel"" by Reuters via NYT https://t.co/PYvOKtKLjR",2243205762,Amanda Fernandez,Delcoville
"With the election done &amp; dusted, News Ltd is free to maintain its ridiculous hate-fuelled rage unshackled.
 
Australia's living Prime Ministers:

Paul Keating 75yo
John Howard 79
Kevin Rudd 61
Julia Gillard 57
Tony Abbott 61
Malcolm Turnbull 64
Rupert Murdoch 88

#auspol https://t.co/y2lX7028yl",1.03E+18,Jason Gregory,"Melbourne, Australia"
"@ItsBouquet A gun sight? Really?  Australia has a political party that got 3% of the vote (27% in some QLD electorates) and tried to deal with the NRA. One Nation ended up helping the Libs over the line, along with Clive, the blowhard laureate.",60587162,Steve Ellis,
The Commonwealth Bank of Australia (ASX: CBA) share price surged 5.5% to $76.87 this morning as investors pile into the stock on the back of the Coalition’s shock federal election win over the weekend. https://t.co/wvunGve1y8,1.03E+18,Queensland Nickel Leaks,
Working-Class Voters Deliver a Win for Conservatives in Australia   https://t.co/NtCb2vocSb,29098296,RFA,new york
"“At the same time, Australia, the world's second-largest exporter of coal for power, 

faces falling demand for coal as its biggest customers - 

Japan, South Korea, China, Taiwan and India - are shifting toward cleaner energy, said Tim Buckley...“ https://t.co/fhiASuOzZN",102157523,Özden Terli,Planet Earth
"Asian shares mixed; election results buoy India, Australia https://t.co/hGB9cqkd6L https://t.co/iH2kYLDHDw",792155928,The Point,From Sea to Shining Sea
False election claims spark push for truth in political advertising laws https://t.co/tMG58YSqUC,312420231,💧Derek Robinson,"Wodonga, Vic, Australia"
"""'Quiet Australians' are the latest to upset election forecasters' expectations"" https://t.co/zbCbJiT7gO",9.34E+17,Famoso,France
"総選挙で勝利の豪与党、景気減速への対応が必要に オーストラリア総選挙で予想外の勝利を収めたモリソン首相率いる与党・保守連合は、今後、景気減速への対応を迫られるとみられる。

 https://t.co/y9Jjck9LZ0",100406819,toritube,tokyo
False election claims spark push for truth in political advertising laws https://t.co/6LqT6VJoTk,1661487846,💧Sue Etheridge💚,Sunshine Coast
"@cheadle_louise @abcnews @SwannyQLD @PatsKarvelas Thank you for your honesty Louise. It's nice to see someone finally own the truth. What lost Labor the election is that they refused to pander to the fear of brown people, and denial of science, that perme",4756700294,Baron Von Sarcasm,
"""In Coal We Trust: Australian Voters Back PM Morrison's Faith in Fossil Fuel"" by Reuters via NYT https://t.co/YC46Mtvv2c https://t.co/cysPsJtFFk",18081940,Renato Toffanin,"Italy, Europe and worldwide"
@AuConservatives @ZubSpike Not a miracle Scott. The people of Australia are not stupid and we will never vote for a party with a socialist agenda spreading hate towards us because we don't agree with their climate hoax or their shit house immigration poli,9.47E+17,Killing Time,Australia
Why Blaming Queensland Won’t Fix Australia https://t.co/JowmpIkokX,1.06E+18,Election News Bay,Global
"""It Was Supposed to Be Australia’s Climate Change Election. What Happened?"" by DAMIEN CAVE via NYT The New York Times https://t.co/vULHsDPxPn",8.08E+17,Api Drama,"Kotchandpur, Bangladesh"
"""In Coal We Trust: Australian Voters Back PM Morrison's Faith in Fossil Fuel"" by Reuters via NYT https://t.co/e5GBBrjdTX",1048106071,Chelsea Mcfee,Pentwater
"Australia's election outcome was an ""incredible shock"" and PM Scott Morrison's rivals failed to craft a message that the economy isn't doing that well, says professor Jill Sheppard https://t.co/PVHDC2UcBS https://t.co/09CNsY05Z4",118099082,michaelangelo,Depends on the day 
"It was second largest post-election gain in Australia's sharemarket since 1993, after the Coalition's win wiped out fears that a Labor government would slow profits at the banking... https://t.co/clIgz7rytR",110657384,Move2Sydney,"Sydney, Australia"
Australia’s Liberal-National Coalition unexpectedly returns to office – ANZ https://t.co/W4SqxicubA,1.06E+18,Election News Bay,Global
UPDATE 3-Australia’s election surprise sends shares to 11-year peak https://t.co/qAILZPU4UB,1.06E+18,Election News Bay,Global
Just read this which raises other issues too! https://t.co/NQoOYib5DK https://t.co/ZBmsvtE6FT,28538442,Fair dinkum renting,Terramerragal/Gadigal
"„Battered by extended droughts, damaging floods, and more bushfires, Australian voters had been expected to hand a mandate to the Labor party to pursue its ambitious targets for renewable energy and carbon emissions cuts.“ 

#ClimateEmergency  https://t.co/fhiASuOzZN",102157523,Özden Terli,Planet Earth
"@mrmartinbath @gtconway3d Not just president. He was all in the election in Australia, and he's a huge influence in Brexit.",8.68E+17,fannode,
Brazil! Israel! India! Australia! Trumpism is now officially a global phenomenon! https://t.co/5PaTAOepgC,2616209796,Scott Adams Show,"🏛Washington, DC"
Australia’s Voters Reject Leftist Ideas https://t.co/sFQQXYEFQH via @JohnFund https://t.co/G7JSaPLPDA,19417492,National Review,New York
"""In Coal We Trust: Australian Voters Back PM Morrison's Faith in Fossil Fuel"" by Reuters via NYT https://t.co/FkpNTg6REc",42611349,kanu,東京都町田市
"Australia’s election will go down as the most dramatic failure of discernment in the history of Australian punditry, writes Tom Switzer https://t.co/FVl8wN1iNA via @WSJ",376700914,Sinclair Davidson,Melbourne
"What a silly argument. Australia’s contribution to solving climate change is so small, we will likely never do anything. Suicidal! Same argument. Why would I ever vote? My one vote amongst 16 million will make no difference to overall outcome! But I do. I have to and I want to.",636919393,Roger yeo,
"‘We have lost Australia for now,’ warns climate scientist in wake of election upset https://t.co/OSftWvc9RX",9.97E+17,WorldNews24/07,
